# frame_id tx ty tz qx qy qz qw
619 1.788604 0.073638 0.037523 0.118169 0.766770 0.583711 0.239543
622 1.790725 0.105489 0.044557 0.116315 0.760619 0.606213 0.201086
625 1.807630 0.124542 0.041708 0.119504 0.753790 0.625227 0.163129
628 1.825033 0.138514 0.036490 0.120909 0.752238 0.632381 0.140047
631 1.849048 0.140397 0.041382 0.114258 0.750939 0.638512 0.123849
634 1.882107 0.145613 0.055245 0.122672 0.741078 0.651787 0.104536
637 1.904937 0.172075 0.047910 0.137598 0.732768 0.660036 0.092029
640 1.932073 0.190107 0.039725 0.149444 0.730376 0.662156 0.075938
643 1.959650 0.195599 0.036150 0.165518 0.724024 0.665615 0.073141
646 1.986875 0.214714 0.022063 0.175516 0.721939 0.661721 0.100610
649 2.011288 0.233779 -0.006718 0.180938 0.724504 0.653752 0.122330
652 2.033271 0.240360 -0.025359 0.192259 0.727827 0.641807 0.146247
655 2.055665 0.254821 -0.055393 0.200716 0.728840 0.630359 0.176499
658 2.073663 0.261206 -0.082319 0.205897 0.732190 0.611279 0.218729
661 2.096652 0.265459 -0.100201 0.211219 0.739567 0.586172 0.254618
664 2.127588 0.262268 -0.118104 0.215986 0.751496 0.556471 0.280970
667 2.147896 0.247068 -0.145775 0.217181 0.760996 0.532198 0.300803
670 2.159980 0.249339 -0.163214 0.212496 0.773027 0.515253 0.302966
673 2.174989 0.257099 -0.177718 0.208229 0.786771 0.512319 0.274155
676 2.178165 0.265877 -0.185202 0.203295 0.797796 0.511936 0.245181
679 2.172268 0.269113 -0.197727 0.202204 0.800585 0.518246 0.222707
682 2.170097 0.274038 -0.198836 0.203803 0.800059 0.528157 0.198544
685 2.166678 0.280726 -0.194626 0.201058 0.803071 0.535104 0.168273
688 2.151837 0.284105 -0.192519 0.198356 0.804865 0.545726 0.122596
691 2.133419 0.288560 -0.178853 0.198167 0.802891 0.557648 0.071587
694 2.112517 0.284320 -0.162062 0.190812 0.798539 0.570032 0.031477
697 2.091505 0.281531 -0.141739 0.184784 0.790597 0.583774 0.004456
700 2.076202 0.280012 -0.115513 0.176392 0.784020 0.595034 -0.011512
703 2.058864 0.277605 -0.089785 0.165721 0.777056 0.606336 -0.032809
706 2.036341 0.274018 -0.060358 0.159190 0.770370 0.615119 -0.053080
709 2.005663 0.268250 -0.034048 0.157909 0.763809 0.623389 -0.055203
712 1.968974 0.265305 -0.018874 0.149707 0.765836 0.624236 -0.037594
715 1.933852 0.256365 -0.005727 0.130543 0.771183 0.622502 -0.026944
718 1.894404 0.249102 0.004881 0.124107 0.775127 0.619301 -0.015567
721 1.848771 0.238897 0.019499 0.113802 0.782431 0.612241 0.003336
724 1.800657 0.234449 0.029351 0.104594 0.790015 0.603563 0.025461
727 1.752652 0.235748 0.033043 0.094349 0.802097 0.587342 0.052609
730 1.707624 0.226025 0.035601 0.088776 0.816582 0.565978 0.070583
733 1.651884 0.217246 0.034099 0.090503 0.822565 0.555598 0.080660
736 1.605083 0.215475 0.027697 0.105394 0.823272 0.551073 0.086219
739 1.570487 0.207695 0.021794 0.112274 0.823125 0.551586 0.074916
742 1.530041 0.211543 0.012078 0.129558 0.821076 0.553844 0.048012
745 1.487652 0.216864 0.006477 0.142915 0.829374 0.539674 0.021579
748 1.445441 0.202955 -0.013627 0.139468 0.846541 0.513297 -0.021072
751 1.429578 0.169953 -0.020820 0.103582 0.868117 0.478739 -0.080330
754 1.432101 0.162885 -0.057011 0.078496 0.876325 0.455423 -0.135955
757 1.401842 0.154653 -0.065692 0.059814 0.885863 0.431127 -0.160621
760 1.382138 0.141764 -0.082100 0.039840 0.894094 0.408542 -0.179170
763 1.354825 0.138916 -0.089269 0.032545 0.896951 0.391206 -0.203414
766 1.333226 0.141255 -0.092780 0.029216 0.899786 0.371038 -0.227734
769 1.314177 0.147546 -0.088241 0.041883 0.902188 0.345444 -0.254894
772 1.287168 0.151269 -0.086238 0.049528 0.902465 0.326726 -0.276322
775 1.261256 0.158142 -0.087944 0.055910 0.904371 0.311036 -0.286783
778 1.232969 0.172517 -0.081989 0.061146 0.906101 0.301728 -0.290178
781 1.200437 0.192630 -0.074393 0.065364 0.904366 0.300746 -0.295638
784 1.149411 0.220571 -0.063328 0.085344 0.899390 0.318312 -0.287214
787 1.115733 0.262720 -0.060714 0.098256 0.889970 0.354949 -0.268906
790 1.070161 0.297867 -0.074892 0.119120 0.878253 0.393674 -0.243933
